hrr,name,state,n_hospitals,total_beds,degree_cent,betweenness_cent,eigenvector_cent,btw_rank,deg_rank,community
1,AL- BIRMINGHAM,AL,40,7687,0.039603960396039604,0.07949205516578148,0.0012898877112759242,26,1,0
2,AL- DOTHAN,AL,11,1209,0.019801980198019802,0.00987913360872511,1.2498036327438471e-05,166,93,0
5,AL- HUNTSVILLE,AL,6,1742,0.009900990099009901,0.05737328699757393,0.00018129333980968675,59,251,0
6,AL- MOBILE,AL,14,2605,0.019801980198019802,0.02281817585732083,0.0001619996457447126,122,93,0
7,AL- MONTGOMERY,AL,12,1353,0.0165016501650165,0.00644766463401307,0.0001335717137263603,199,142,0
9,AL- TUSCALOOSA,AL,6,892,0.009900990099009901,0.0,9.612226409789225e-05,281,251,1
11,AZ- MESA,AZ,13,1975,0.006600660066006601,0.0,0.004455860538104479,281,286,2
12,AZ- PHOENIX,AZ,41,6890,0.026402640264026403,0.12753262081175004,0.037787670477356206,6,31,2
14,AZ- SUN CITY,AZ,3,721,0.0033003300330033004,0.0,0.0010480630449564519,281,299,2
15,AZ- TUCSON,AZ,15,2686,0.009900990099009901,0.0018140886936375755,0.010921245366416093,229,251,2
16,AR- FORT SMITH,AR,13,1173,0.0165016501650165,0.026927196030861363,0.05775449205858051,111,142,3
18,AR- JONESBORO,AR,7,833,0.0165016501650165,0.07210456144952243,0.005007282665097716,36,142,4
19,AR- LITTLE ROCK,AR,40,5493,0.026402640264026403,0.033462286626013596,0.016471458856827187,97,31,1
21,AR- SPRINGDALE,AR,8,1235,0.0165016501650165,0.030380521495858192,0.025985496202991957,106,142,3
22,AR- TEXARKANA,AR,7,830,0.023102310231023104,0.07859593906410509,0.03142857629565322,27,56,3
23,CA- ORANGE CO.,CA,24,4832,0.009900990099009901,0.0,0.0013509113248858751,281,251,2
25,CA- BAKERSFIELD,CA,12,1736,0.013201320132013201,0.02238104605162503,0.0003829645772355649,123,198,2
31,CA- CHICO,CA,6,601,0.009900990099009901,0.01865997858063952,0.0008009966837520515,139,251,2
33,CA- CONTRA COSTA CO.,CA,6,1015,0.0165016501650165,0.00037702445741262866,7.703335196317214e-05,242,142,2
43,CA- FRESNO,CA,8,1794,0.019801980198019802,0.03129849408781937,0.0009669055569447586,103,93,2
56,CA- LOS ANGELES,CA,74,17863,0.013201320132013201,2.1856490284790067e-05,0.0008247577526590991,257,198,2
58,CA- MODESTO,CA,9,1399,0.0165016501650165,0.018512447271217185,0.0010273226696420803,141,142,2
62,CA- NAPA,CA,8,522,0.0165016501650165,0.010256158066137739,9.065184955497145e-05,163,142,2
65,CA- ALAMEDA CO.,CA,9,2206,0.0165016501650165,0.002032653596485476,5.6158611807675275e-05,227,142,2
69,CA- PALM SPR/RANCHO MIR.,CA,3,636,0.009900990099009901,0.03820514501781304,0.000837005855744913,84,251,2
73,CA- REDDING,CA,9,738,0.009900990099009901,0.01621751579131423,7.942447285421332e-05,145,251,2
77,CA- SACRAMENTO,CA,18,3327,0.0165016501650165,6.55694708543702e-05,0.0015288563474519414,252,142,2
78,CA- SALINAS,CA,4,740,0.013201320132013201,0.01910257250890652,2.8123940212215173e-05,135,198,2
79,CA- SAN BERNARDINO,CA,21,4747,0.019801980198019802,0.028063733525670445,0.0033218620860933005,110,93,2
80,CA- SAN DIEGO,CA,20,5643,0.0165016501650165,0.04017222914344414,0.00769807758744099,79,142,2
81,CA- SAN FRANCISCO,CA,12,3082,0.0165016501650165,0.000655694708543702,1.0529304799265153e-05,238,142,2
82,CA- SAN JOSE,CA,7,2166,0.019801980198019802,0.0006994076891132822,7.905035179807667e-05,235,93,2
